site;fish;parspeciesrichness;div_shannon;div_simpson;temp;pH;conductivity;nitrogen;phosphorus;oxygen;netcen;updist;updist2;updist3;fishspeciesrichness;weight;weigh (g);length;SMI;Sex ;Gyr;Tri;Glu;ecto_screener;Con;CysL;Pro;Aca;Cam;Ang;CysI;endo_screener;PI;PI_ecto;PI_endo
6;14;1;0;0;18.4;7.9;373;2;0.073;5.5;45262.0497;45780.07402;2279;2371;11;106;1.06;39;0.963010718;M;0;43;0;ID;0;0;0;0;0;0;0;ID;0.362257679;0.362257679;0
6;15;1;0;0;18.4;7.9;373;2;0.073;5.5;45262.0497;45780.07402;2279;2371;11;98;0.98;41;0.753299094;M;0;17;0;SM;0;0;0;0;0;0;0;SM;0.143218152;0.143218152;0
6;16;0;0;1;18.4;7.9;373;2;0.073;5.5;45262.0497;45780.07402;2279;2371;11;45;0.45;39;0.408825305;M;0;0;0;SM;0;0;0;0;0;0;0;SM;0;0;0
6;17;1;0;0;18.4;7.9;373;2;0.073;5.5;45262.0497;45780.07402;2279;2371;11;58;0.58;36;0.688533782;F;0;133;0;SM;0;0;0;0;0;0;0;SM;1.120471424;1.120471424;0
6;18;1;0;0;18.4;7.9;373;2;0.073;5.5;45262.0497;45780.07402;2279;2371;11;39;0.39;33;0.619224349;M;0;68;0;SM;0;0;0;0;0;0;0;SM;0.572872608;0.572872608;0
6;19;1;0;0;18.4;7.9;373;2;0.073;5.5;45262.0497;45780.07402;2279;2371;11;65;0.65;38;0.644078482;F;0;25;0;AD;0;0;0;0;0;0;0;AD;0.210614929;0.210614929;0
6;20;1;0;0;18.4;7.9;373;2;0.073;5.5;45262.0497;45780.07402;2279;2371;11;13;0.13;27;0.40362239;M;0;5;0;ID;0;0;0;0;0;0;0;SM;0.042122986;0.042122986;0
6;21;4;0.234565843;0.088881407;18.4;7.9;373;2;0.073;5.5;45262.0497;45780.07402;2279;2371;11;16;0.16;24;0.736375385;M;2;104;0;ID;1;0;0;0;0;2;0;SM;4.728971098;1.482218503;3.246752595
7;1;1;0;0;15.9;8.2;802;2;0.17;8.4;72386.11495;76509.32419;76625;6715;1;95;0.95;42;0.673736979;F;0;23;0;SM;0;0;0;0;0;0;0;SM;0.193765735;0.193765735;0
7;3;1;0;0;15.9;8.2;802;2;0.17;8.4;72386.11495;76509.32419;76625;6715;1;81;0.81;37;0.877437287;M;0;2;0;SM;0;0;0;0;0;0;0;SM;0.016849194;0.016849194;0
7;5;1;0;0;15.9;8.2;802;2;0.17;8.4;72386.11495;76509.32419;76625;6715;1;40;0.4;30;0.873321687;M;0;10;0;SM;0;0;0;0;0;0;0;SM;0.084245972;0.084245972;0
7;6;2;0.144300035;0.063423811;15.9;8.2;802;2;0.17;8.4;72386.11495;76509.32419;76625;6715;1;27;0.27;27;0.838292657;M;2;59;0;SM;0;0;0;0;0;0;0;SM;1.10311163;1.10311163;0
7;8;1;0;0;15.9;8.2;802;2;0.17;8.4;72386.11495;76509.32419;76625;6715;1;44;0.44;31;0.860947349;F;0;4;0;SM;0;0;0;0;0;0;0;SM;0.033698389;0.033698389;0
7;10;1;0;0;15.9;8.2;802;2;0.17;8.4;72386.11495;76509.32419;76625;6715;1;28;0.28;27;0.869340533;F;0;4;0;SM;0;0;0;0;0;0;0;SM;0.033698389;0.033698389;0
7;11;2;0.585952618;0.396694215;15.9;8.2;802;2;0.17;8.4;72386.11495;76509.32419;76625;6715;1;77;0.77;36;0.914087953;F;0;0;0;PH;0;0;0;0;0;0;0;PH;0;0;0
7;12;1;0;0;15.9;8.2;802;2;0.17;8.4;72386.11495;76509.32419;76625;6715;1;25;0.25;31;0.48917463;M;0;24;0;ID;0;0;0;0;0;0;0;ID;0.202190332;0.202190332;0
7;13;2;0.304636097;0.165289256;15.9;8.2;802;2;0.17;8.4;72386.11495;76509.32419;76625;6715;1;58;0.58;38;0.574716184;M;6;60;0;ID;0;0;0;0;0;0;0;ID;2.323657022;2.323657022;0
7;14;2;0.410116318;0.244897959;15.9;8.2;802;2;0.17;8.4;72386.11495;76509.32419;76625;6715;1;16;0.16;27;0.496766019;M;1;6;0;ID;0;0;0;0;0;0;0;ID;0.353577782;0.353577782;0
7;15;2;0.585952618;0.396694215;15.9;8.2;802;2;0.17;8.4;72386.11495;76509.32419;76625;6715;1;17;0.17;24;0.782398846;M;3;8;0;ID;0;0;0;0;0;0;0;ID;0.976487373;0.976487373;0
7;16;2;0.248332897;0.12668489;15.9;8.2;802;2;0.17;8.4;72386.11495;76509.32419;76625;6715;1;19;0.19;23;1.008098229;F;7;96;0;ID;0;0;0;0;0;0;0;ID;2.929972718;2.929972718;0
7;17;1;0;0;15.9;8.2;802;2;0.17;8.4;72386.11495;76509.32419;76625;6715;1;210;2.1;53;0.68448484;F;0;3;0;ID;0;0;0;0;0;0;0;ID;0.025273792;0.025273792;0
7;18;1;0;0;15.9;8.2;802;2;0.17;8.4;72386.11495;76509.32419;76625;6715;1;229;2.29;54;0.701214232;M;0;7;0;ID;0;0;0;0;0;0;0;ID;0.05897218;0.05897218;0
7;19;2;0.562335145;0.375;15.9;8.2;802;2;0.17;8.4;72386.11495;76509.32419;76625;6715;1;201;2.01;53;0.655149775;F;4;12;0;ID;0;0;0;0;0;0;0;ID;1.31321596;1.31321596;0
9;2;1;0;0;20.5;8.1;906;2;0.31;7;47724.46004;49932.68291;14010;23559;4;117;1.17;40;0.976709648;F;0;3;0;SM;0;0;0;0;0;0;0;SM;0.025273792;0.025273792;0
9;3;2;0.173205207;0.079861111;20.5;8.1;906;2;0.31;7;47724.46004;49932.68291;14010;23559;4;93;0.93;39;0.84490563;F;0;23;0;SM;1;0;0;0;0;0;0;SM;1.622336953;0.193765735;1.428571218
