fish;site;Updist3;updist;netcen;updist2;nr_species;Temp;pH;Conductivity;Nitrogen;Phosphorus;Oxygen;PI;PI_ecto;PI_endo;confactor2;weight;length;length in cm;weight in g;confactor;Sex ;gyro;tricho;glugea;contra;cystsliver;proteo;acantho;cama;angui;cistsintestine
5;5;12171;67952.65478;64168.17228;31664;3;19.1;8.1;940;1;0.19;9;0.11794436;0.11794436;0;1.380291324;54;34;3.4;0.54;15.88;M;0;14;0;0;0;0;0;0;0;0
6;5;12171;67952.65478;64168.17228;31664;3;19.1;8.1;940;1;0.19;9;0.496795934;0.496795934;0;-3.004266115;40;32;3.2;0.4;12.5;M;1;23;0;0;0;0;0;0;0;0
10;5;12171;67952.65478;64168.17228;31664;3;19.1;8.1;940;1;0.19;9;0.101095166;0.101095166;0;0.629676861;28;28;2.8;0.28;10;M;0;12;0;0;0;0;0;0;0;0
11;5;12171;67952.65478;64168.17228;31664;3;19.1;8.1;940;1;0.19;9;0.05897218;0.05897218;0;26.29608014;192;51;5.1;1.92;37.65;M;0;7;0;0;0;0;0;0;0;0
12;5;12171;67952.65478;64168.17228;31664;3;19.1;8.1;940;1;0.19;9;0.429654456;0.429654456;0;-44.89653106;30;38;3.8;0.3;7.89;M;0;51;0;0;0;0;0;0;0;0
13;5;12171;67952.65478;64168.17228;31664;3;19.1;8.1;940;1;0.19;9;0.294860901;0.294860901;0;2.70844478;27;27;2.7;0.27;10;M;0;35;0;0;0;0;0;0;0;0
15;5;12171;67952.65478;64168.17228;31664;3;19.1;8.1;940;1;0.19;9;0.126368958;0.126368958;0;-10.79475331;20;29;2.9;0.2;6.9;F;0;15;0;0;0;0;0;0;0;0
16;5;12171;67952.65478;64168.17228;31664;3;19.1;8.1;940;1;0.19;9;0.075821375;0.075821375;0;76.96991154;273;55;5.5;2.73;49.64;F;0;9;0;0;0;0;0;0;0;0
17;5;12171;67952.65478;64168.17228;31664;3;19.1;8.1;940;1;0.19;9;3.341758097;0.008424597;3.3333335;-9.758267603;4;19;1.9;0.04;2.11;M;0;1;0;0;1;0;0;0;0;0
19;5;12171;67952.65478;64168.17228;31664;3;19.1;8.1;940;1;0.19;9;0.38753147;0.38753147;0;-0.708608511;15;23;2.3;0.15;6.52;F;0;46;0;0;0;0;0;0;0;0
1;6;2371;45780.07402;45262.0497;2279;11;18.4;7.9;373;2;0.073;5.5;0.033698389;0.033698389;0;-3.287197317;60;36;3.6;0.6;16.67;M;0;4;0;0;0;0;0;0;0;0
2;6;2371;45780.07402;45262.0497;2279;11;18.4;7.9;373;2;0.073;5.5;3.804855642;0.471522142;3.3333335;-8.981021112;60;37;3.7;0.6;16.22;F;1;20;0;0;1;0;0;0;0;0
