date;site;fish;confactor;weight;length;Sex ;# dorsal spines;gyro;tricho;glugea;contra;cystsliver;proteo;acantho;cama;angui;cistsintestine
5/03/2019;23;15;-15.63;23;31;F;3;3;0;0;0;0;0;0;0;0;0
5/03/2019;23;16;-19.34;68;40;F;3;1;0;0;0;0;0;0;0;0;0
18/10/2018;24;1;17.64;139;45;M;3;0;17;0;0;0;0;0;0;0;0
23/02/2017;24;2;8.73;123;44;F;3;0;77;0;0;0;0;0;0;0;0
21/02/2017;24;3;-1.27;113;44;F;3;0;161;0;0;0;0;0;0;0;0
23/02/2017;24;4;6.45;135;46;F;4;0;24;0;0;0;0;0;0;0;0
13/11/2018;24;5;5.45;134;46;M;3;0;5;0;0;0;0;0;0;0;0
24/02/2017;24;6;16.68;124;43;F;3;0;81;0;0;0;0;0;0;0;0
24/02/2017;24;7;11.16;105;41;F;3;1;198;0;1;0;0;0;0;0;0
22/10/2018;24;8;32.64;154;45;M;3;0;102;0;0;0;0;0;0;0;0
5/11/2018;24;9;12.66;100;40;M;3;0;120;0;0;0;0;0;0;0;0
13/11/2018;24;10;34.16;170;47;M;3;0;6;0;1;0;0;0;0;1;0
13/02/2017;24;11;52.66;140;40;M;3;0;8;0;0;0;0;0;0;0;0
13/02/2017;24;12;33.5;134;42;M;3;0;2;0;0;0;0;0;0;0;0
17/10/2018;26;1;26.71;90;36;M;3;0;4;0;0;0;0;0;0;0;0
4/12/2018;26;2;8.77;28;25;M;3;0;8;0;0;0;0;0;0;0;0
4/12/2018;26;3;-0.56;14;22;F;3;4;74;0;0;0;0;0;0;0;0
4/12/2018;26;4;15.37;54;31;M;3;0;47;0;0;0;0;0;0;0;0
4/12/2018;26;5;24.37;63;31;F;3;0;13;0;0;0;0;0;0;0;0
4/12/2018;26;6;8.63;36;28;M;3;1;99;0;0;0;0;0;0;0;0
4/12/2018;26;7;5.43;27;26;F;3;0;190;0;0;0;0;0;0;0;0
18/10/2018;26;9;8.29;77;34;F;3;1;0;1;0;0;0;0;0;0;0
22/01/2020;26;11;-5.55;29;30;M;3;5;109;0;0;0;0;0;0;1;0
22/01/2020;26;12;-14.67;33;33;M;4;0;102;0;0;0;0;0;0;0;0
22/01/2020;26;13;6.21;37;29;M;3;1;75;0;0;0;0;0;0;0;0
23/01/2020;26;14;-10;33;32;M;3;2;21;0;0;0;0;0;0;0;0
23/01/2020;26;15;-12;31;32;M;3;0;141;0;0;0;0;0;0;0;0
23/01/2020;26;16;-6.37;21;28;M;3;1;64;0;0;0;0;0;0;0;0
23/01/2020;26;17;43.5;144;42;M;3;0;142;0;0;0;0;0;0;0;0
23/01/2020;26;18;-6;37;32;F;3;0;24;0;0;0;0;0;0;0;0
23/01/2020;26;19;72.17;130;35;M;3;1;18;0;0;0;0;0;0;0;0
23/01/2020;26;20;-62.36;59;45;M;3;2;69;0;0;0;0;0;0;0;0
3/06/2018;28;1;20.16;156;47;F;4;0;22;0;0;0;0;0;0;0;0
3/06/2018;28;2;37.64;159;45;M;3;0;9;0;0;0;0;0;0;0;0
13/06/2018;28;3;23.68;131;43;M;4;0;6;0;0;0;0;0;0;0;0
4/06/2018;28;5;8.71;72;36;F;3;0;2;0;0;0;0;0;0;0;0
4/06/2018;28;7;17.73;132;44;F;3;0;3;2;0;0;0;0;0;0;0
13/06/2018;28;9;13.71;38;27;F;3;0;2;0;0;0;0;0;0;0;0
4/06/2018;28;10;20.33;68;33;M;3;0;4;0;0;0;0;0;0;0;0
18/03/2019;28;11;-27.32;80;43;F;3;0;62;0;0;0;0;0;0;0;0
18/03/2019;28;12;0.73;115;44;F;3;0;163;0;0;0;0;0;0;0;0
