site;fish;parspeciesrichness;div_shannon;div_simpson;;temp;pH;conductivity;nitrogen;phosphorus;oxygen;netcen;updist;updist2;updist3;fishspeciesrichness;weight;length;confactor;Sex ;PI;gyro;tricho;glugea;ecto_screener;contra;cystsliver;proteo;acantho;cama;angui;cistsintestine;endo_screener
5;19;1;0;0;;19.1;8.1;940;1;0.19;9;64168.17228;67952.65478;31664;12171;3;15;23;6.52;F;0.39;0;46;0;ID;0;0;0;0;0;0;0;ID
6;1;1;0;0;;18.4;7.9;373;2;0.073;5.5;45262.0497;45780.07402;2279;2371;11;60;36;16.67;M;0.03;0;4;0;SM;0;0;0;0;0;0;0;SM
6;2;3;0.367649477;0.169421488;;18.4;7.9;373;2;0.073;5.5;45262.0497;45780.07402;2279;2371;11;60;37;16.22;F;3.8;1;20;0;PH;0;1;0;0;0;0;0;PH
6;3;1;0;0;;18.4;7.9;373;2;0.073;5.5;45262.0497;45780.07402;2279;2371;11;30;29;10.34;F;0.01;0;1;0;SM;0;0;0;0;0;0;0;SM
6;4;1;0;0;;18.4;7.9;373;2;0.073;5.5;45262.0497;45780.07402;2279;2371;11;68;37;18.38;F;0.1;0;12;0;ID;0;0;0;0;0;0;0;ID
6;7;2;0.500402424;0.32;;18.4;7.9;373;2;0.073;5.5;45262.0497;45780.07402;2279;2371;11;65;35;18.57;M;3.37;0;4;0;SM;0;1;0;0;0;0;0;SM
6;8;1;0;0;;18.4;7.9;373;2;0.073;5.5;45262.0497;45780.07402;2279;2371;11;58;34;17.06;M;0.08;0;10;0;SM;0;0;0;0;0;0;0;SM
6;9;2;0.500402424;0.32;;18.4;7.9;373;2;0.073;5.5;45262.0497;45780.07402;2279;2371;11;89;41;21.71;F;0.34;1;4;0;PH;0;0;0;0;0;0;0;PH
6;10;1;0;0;;18.4;7.9;373;2;0.073;5.5;45262.0497;45780.07402;2279;2371;11;74;39;18.97;F;3.34;0;396;0;PH;0;0;0;0;0;0;0;PH
6;11;0;0;1;;18.4;7.9;373;2;0.073;5.5;45262.0497;45780.07402;2279;2371;11;72;36;20;F;0;0;0;0;PH;0;0;0;0;0;0;0;PH
6;12;1;0;0;;18.4;7.9;373;2;0.073;5.5;45262.0497;45780.07402;2279;2371;11;62;36;17.22;M;0.45;0;53;0;ID;0;0;0;0;0;0;0;PH
6;13;1;0;0;;18.4;7.9;373;2;0.073;5.5;45262.0497;45780.07402;2279;2371;11;38;29;13.1;M;0.02;0;2;0;ID;0;0;0;0;0;0;0;ID
6;14;1;0;0;;18.4;7.9;373;2;0.073;5.5;45262.0497;45780.07402;2279;2371;11;106;39;27.18;M;0.36;0;43;0;ID;0;0;0;0;0;0;0;ID
6;15;1;0;0;;18.4;7.9;373;2;0.073;5.5;45262.0497;45780.07402;2279;2371;11;98;41;23.9;M;0.14;0;17;0;SM;0;0;0;0;0;0;0;SM
